F#/Gb Lydian,F#/Gb G#/Ab A#/Bb C C#/Db D#/Eb F
G Lydian,G A B C#/Db D E F#/Gb
G#/Ab Lydian,G#/Ab A#/Bb C D D#/Eb F G
A Lydian,A B C#/Db D#/Eb E F#/Gb G#/Ab
A#/Bb Lydian,A#/Bb C D E F G A
B Lydian,B C#/Db D#/Eb F F#/Gb G#/Ab A#/Bb
C Mixolydian,C D E F G A A#/Bb
C#/Db Mixolydian,C#/Db D#/Eb F F#/Gb G#/Ab A#/Bb B
D Mixolydian,D E F#/Gb G A B C
D#/Eb Mixolydian,D#/Eb F G G#/Ab A#/Bb C C#/Db
E Mixolydian,E F#/Gb G#/Ab A B C#/Db D
F Mixolydian,F G A A#/Bb C D D#/Eb
F#/Gb Mixolydian,F#/Gb G#/Ab A#/Bb B C#/Db D#/Eb E
G Mixolydian,G A B C D E F
G#/Ab Mixolydian,G#/Ab A#/Bb C C#/Db D#/Eb F F#/Gb
A Mixolydian,A B C#/Db D E F#/Gb G
A#/Bb Mixolydian,A#/Bb C D D#/Eb F G G#/Ab
B Mixolydian,B C#/Db D#/Eb E F#/Gb G#/Ab A
C Locrian,C C#/Db D#/Eb F F#/Gb G#/Ab A#/Bb
C#/Db Locrian,C#/Db D E F#/Gb G A B
D Locrian,D D#/Eb F G G#/Ab A#/Bb C
D#/Eb Locrian,D#/Eb E F#/Gb G#/Ab A B C#/Db
E Locrian,E F G A A#/Bb C D
F Locrian,F F#/Gb G#/Ab A#/Bb B C#/Db D#/Eb
F#/Gb Locrian,F#/Gb G A B C D E
G Locrian,G G#/Ab A#/Bb C C#/Db D#/Eb F
G#/Ab Locrian,G#/Ab A B C#/Db D E F#/Gb
A Locrian,A A#/Bb C D D#/Eb F G
A#/Bb Locrian,A#/Bb B C#/Db D#/Eb E F#/Gb G#/Ab
B Locrian,B C D E F G A
C jazz melodic minor,C D D#/Eb F G A B
C#/Db jazz melodic minor,C#/Db D#/Eb E F#/Gb G#/Ab A#/Bb C
D jazz melodic minor,D E F G A B C#/Db
D#/Eb jazz melodic minor,D#/Eb F F#/Gb G#/Ab A#/Bb C D
E jazz melodic minor,E F#/Gb G A B C#/Db D#/Eb
F jazz melodic minor,F G G#/Ab A#/Bb C D E
F#/Gb jazz melodic minor,F#/Gb G#/Ab A B C#/Db D#/Eb F
G jazz melodic minor,G A A#/Bb C D E F#/Gb
G#/Ab jazz melodic minor,G#/Ab A#/Bb B C#/Db D#/Eb F G
A jazz melodic minor,A B C D E F#/Gb G#/Ab
A#/Bb jazz melodic minor,A#/Bb C C#/Db D#/Eb F G A
B jazz melodic minor,B C#/Db D E F#/Gb G#/Ab A#/Bb
C Dorian b2,C C#/Db D#/Eb F G A A#/Bb
C#/Db Dorian b2,C#/Db D E F#/Gb G#/Ab A#/Bb B
D Dorian b2,D D#/Eb F G A B C
D#/Eb Dorian b2,D#/Eb E F#/Gb G#/Ab A#/Bb C C#/Db
E Dorian b2,E F G A B C#/Db D
F Dorian b2,F F#/Gb G#/Ab A#/Bb C D D#/Eb
F#/Gb Dorian b2,F#/Gb G A B C#/Db D#/Eb E
G Dorian b2,G G#/Ab A#/Bb C D E F
